"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","U"
13209044500,13209,"445","","町田市No.445遺跡","町田市 三輪町","[時代不明]","包蔵地","","土器",139.4956648,35.57079868,TRUE
13209044800,13209,"448","","町田市No.448遺跡","町田市 三輪町","[時代不明]","包蔵地","","土器",139.4943945,35.56878799,TRUE
13209050300,13209,"503","ふじづか（ちょうちんづか）","富士塚（提灯塚）","町田市 木曽東四丁目","[時代不明]","その他（塚）","","",139.4268722,35.5675992,TRUE
13209053800,13209,"538","","町田市No.538遺跡","町田市 金井八丁目","[時代不明]","その他（塚）","","",139.4668244,35.57632548,TRUE
13209058500,13209,"585","ほんまちだいせきぐん","本町田遺跡群","町田市 金井一丁目","[時代不明]","塚","","",139.4491433,35.57579444,TRUE
13209058600,13209,"586","ほんまちだいせきぐん","本町田遺跡群","町田市 本町田　 金井町","[時代不明]","包蔵地","","土器",139.4514812,35.57146936,TRUE
13209068600,13209,"686","せんげんづか","浅間塚","町田市 小川一丁目","[時代不明]","丘陵　塚","","",139.4772585,35.52676475,TRUE
13209093100,13209,"931","","町田市No.931遺跡","町田市 小山町","[時代不明]","包蔵地","","",139.3571289,35.60326386,TRUE
13210002300,13210,"23","","小金井市No.23遺跡","小金井市 前原町四丁目","[時代不明]","塚","","",139.5018,35.68753,TRUE
13212003700,13212,"37","","日野市No.37遺跡","日野市 落川","[時代不明]","包蔵地","","",139.4318174,35.65885028,TRUE
13213001000,13213,"10","ひなたづか（ひとみづか）","日向塚（人見塚）","東村山市 多摩湖町一丁目","[時代不明]","その他（塚）","","縄文土器　打製石斧　土師器　須恵器",139.449982,35.76152986,TRUE
13213012400,13213,"124","","東村山市No.124遺跡","東村山市 秋津町二丁目","[時代不明]","包蔵地","","",139.4888403,35.77124767,TRUE
13213013100,13213,"131","","東村山市No.131遺跡","東村山市 恩多町三丁目","[時代不明]","包蔵地","","",139.4812872,35.75659421,TRUE
13218001500,13218,"15","","福生市№15遺跡","福生市 熊川","[時代不明]","包蔵地","","土師器",139.3372603,35.71742439,TRUE
13219006100,13219,"61","かなぼりづか","金堀塚","狛江市 和泉本町四丁目","[時代不明]","古墳？","","",139.5696509,35.64401696,TRUE
13224005500,13224,"55","たまにゅーたうんNo.44いせき","多摩ニュータウンNo.44遺跡","多摩市 諏訪四丁目","[時代不明]","包蔵地","","",139.4607214,35.62369768,TRUE
13224014000,13224,"140","たまにゅーたうんNo.277いせき","多摩ニュータウンNo.277遺跡","多摩市 豊ヶ丘五丁目","[時代不明]","包蔵地","","",139.4336933,35.6169452,TRUE
13224018300,13224,"183","ありやまやしき","有山屋敷","多摩市 東寺方二号","[不明]","城館跡","","",139.4444903,35.64814445,TRUE
13224020900,13224,"209","たましNo.209いせき","多摩市No.209遺跡","多摩市 和田","[時代不明]","窯群","2基","瓦",139.4271253,35.64328451,TRUE
13225005600,13225,"56","","稲城市No.56遺跡","稲城市 百村","[時代不明]","包蔵地","","",139.4984958,35.63251091,TRUE
13225005700,13225,"57","","稲城市No.57遺跡","稲城市 百村","[時代不明]","包蔵地","","",139.4979808,35.63193887,TRUE
13225005800,13225,"58","","稲城市No.58遺跡","稲城市 百村","[時代不明]","包蔵地","","",139.4993198,35.63051573,TRUE
13225005900,13225,"59","","稲城市No.59遺跡","稲城市 百村","[時代不明]","包蔵地","","",139.4989765,35.62944138,TRUE
13225006100,13225,"61","","稲城市No.61遺跡","稲城市 百村","[時代不明]","包蔵地","","",139.5012081,35.62980415,TRUE
13225015500,13225,"155","","稲城市No.155遺跡","稲城市 坂浜","［時代不明］","その他（塚）","","",139.4895272,35.62362683,TRUE
13229000900,13229,"9","かみほうやかみじゅくいせき","上保谷上宿遺跡","西東京市 住吉町一丁目","[時代不明]","包蔵地","","土器",139.549403,35.74337561,TRUE
13307002500,13307,"25","","檜原村No.25遺跡","檜原村 大ダワ","[時代不明]","包蔵地","","剥片",139.1036033,35.77795986,TRUE
13307002600,13307,"26","","檜原村No.26遺跡","檜原村 三都郷","[時代不明]","包蔵地","","土器",139.1320304,35.74698086,TRUE
13307003800,13307,"38","かずましょうがっこういせき","数馬小学校遺跡","檜原村 数馬","[時代不明]","包蔵地","","",139.0498679,35.72669596,TRUE
